contribution_date,amount,contributor_name,sector_category,alignment,candidate_name,office
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2023-03-29,5000.0,Takeda Pharmaceuticals,pharma,neutral,Kathleen C. Hochul,governor
2022-08-29,5000.0,Takeda Pharmaceuticals,pharma,neutral,Kathleen C. Hochul,governor
2021-09-23,5000.0,Revival Home Health Care Operating Accou,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2023-11-02,5000.0,Sarepta Therapeutics,pharma,neutral,Kathleen C. Hochul,governor
2020-12-01,5000.0,Rca Healthcare Management LLC,hospital_health_system_provider,neutral,Gustavo Rivera,state_senate
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2025-10-02,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-04-29,5000.0,"Senior Care EMS, Inc.",other_healthcare_related,neutral,Kathleen C. Hochul,governor
2024-06-26,5000.0,NewYork-Presbyterian,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-04-29,5000.0,Revival Home Health Care Operating Accou,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2024-12-03,5000.0,The Doctors Company New York (DocPac),other_healthcare_related,neutral,Kathleen C. Hochul,governor
2026-02-01,5000.0,TenBroeck Center for Rehabilitation and Nursing,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2026-02-01,5000.0,Delmar Center for Rehabilitation and Nursing,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2025-12-12,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2024-10-23,5000.0,ReachOut Healthcare America,other_healthcare_related,neutral,Kathleen C. Hochul,governor
2024-07-11,5000.0,Hazel Health,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-01-04,5000.0,Centene,health_insurer,neutral,Jumaane D. Williams,governor
2023-09-26,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-12-20,5000.0,New York Chiropractic Pac,industry_association,neutral,Kathleen C. Hochul,governor
2022-01-12,5000.0,Lawrence Chiropractic Diagnostics Servic,imaging_diagnostics,neutral,Jumaane D. Williams,governor
2022-04-10,5000.0,Northwell Health,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2024-10-23,5000.0,Michael Lacorte Dentistry PC,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2024-10-23,5000.0,Michigan Dental Outreach,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-01-12,5000.0,Great Grace Care Corp,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-07-11,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Gustavo Rivera,state_senate
2022-04-13,5000.0,Neema Pharmacy Inc,pharmacy,neutral,Thomas R. Suozzi,governor
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-09-12,5000.0,Hammonton Center for Rehabilitation and,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2022-05-19,5000.0,Liberty Medical Office PC,hospital_health_system_provider,neutral,Thomas R. Suozzi,governor
2020-06-02,5000.0,New York State Society of Anesthesiologists,industry_association,unknown,Carl Heastie,assembly
2022-01-12,5000.0,Greater NY Social & Health Adult Day Car,adult_day_care,neutral,Kathleen C. Hochul,governor
2022-09-06,5000.0,Long Island Neurosurgical & Pain Special,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-04-05,5000.0,Intco Medical Industries,hospital_health_system_provider,neutral,Thomas R. Suozzi,governor
2022-08-31,5000.0,"Long Island Thoracic Surgery, P.C.",hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2023-03-22,5000.0,Morningside Nursing and Rehabilitation,post_acute_long_term_care,neutral,Amy Paulin,assembly
2025-10-02,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-10-26,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Gustavo Rivera,state_senate
2022-09-12,5000.0,Carillon Dialysis LLC,renal_dialysis,neutral,Kathleen C. Hochul,governor
2022-01-04,5000.0,Greater New York Hospital Association (GNYHA),industry_association,neutral,Gustavo Rivera,state_senate
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-03-27,5000.0,Vaishnavi Pharmacy Inc.,pharmacy,neutral,Thomas R. Suozzi,governor
2022-10-20,5000.0,Care Pro Staff LLC,other_healthcare_related,neutral,Lee Michael Zeldin,governor
2022-05-25,5000.0,RSC Healthcare LLC,other_healthcare_related,neutral,Thomas R. Suozzi,governor
2022-05-19,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Kathleen C. Hochul,governor
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2020-09-23,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,James Skoufis,state_senate
2025-06-17,5000.0,Meadowbrook Care Center Inc,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-04-29,5000.0,Medical Director Services PC,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
